,coef,odds_ratio,ci_low,ci_high,p_value
question_length,0.1301,1.139,0.7666,1.6921,0.5194
readability_fk,-0.4381,0.6453,0.4234,0.9835,0.0416
evidence_length,-0.1343,0.8744,0.5901,1.2956,0.5034
retrieval_similarity,-0.2716,0.7621,0.5195,1.118,0.1647
ambiguity,0.5457,1.7259,1.1766,2.5316,0.0052
reasoning_depth,-0.4285,0.6515,0.4308,0.9852,0.0423
numerical_content,0.726,2.0669,0.6385,6.6903,0.2257
topic_regulation,-0.3883,0.6782,0.1177,3.909,0.664
type_factual,0.6529,1.9212,0.8947,4.1253,0.094
source_official,0.6032,1.828,0.3761,8.8847,0.4546
model_llama70b,-4.3693,0.0127,0.0016,0.0989,0.0
model_gptoss20b,-2.4632,0.0852,0.0321,0.2258,0.0
