,coef,odds_ratio,ci_low,ci_high,p_value
question_length,0.3392,1.4038,0.8329,2.366,0.2028
readability_fk,-0.8038,0.4476,0.2493,0.8036,0.0071
evidence_length,0.2084,1.2318,0.7797,1.9458,0.3716
retrieval_similarity,-0.7052,0.494,0.2678,0.9113,0.024
ambiguity,0.4301,1.5375,0.9465,2.4974,0.0822
reasoning_depth,0.0738,1.0766,0.5569,2.0812,0.8264
numerical_content,0.3585,1.4312,0.1822,11.2406,0.7332
topic_regulation,-0.1558,0.8557,0.0939,7.7968,0.8901
type_factual,0.4785,1.6137,0.6042,4.3095,0.3397
source_official,-0.2019,0.8172,0.1263,5.2875,0.8322
model_llama70b,-4.1249,0.0162,0.0016,0.1669,0.0005
model_gptoss20b,-2.5014,0.082,0.0252,0.2669,0.0
