id,model,label
1,llama-3.3-70b-versatile,supported
2,llama-3.3-70b-versatile,partially_supported
3,llama-3.3-70b-versatile,supported
4,llama-3.3-70b-versatile,partially_supported
5,llama-3.3-70b-versatile,supported
6,llama-3.3-70b-versatile,supported
7,llama-3.3-70b-versatile,partially_supported
9,llama-3.3-70b-versatile,supported
10,llama-3.3-70b-versatile,supported
13,llama-3.3-70b-versatile,partially_supported
14,llama-3.3-70b-versatile,partially_supported
16,llama-3.3-70b-versatile,supported
17,llama-3.3-70b-versatile,supported
20,llama-3.3-70b-versatile,supported
22,llama-3.3-70b-versatile,supported
23,llama-3.3-70b-versatile,partially_supported
24,llama-3.3-70b-versatile,partially_supported
25,llama-3.3-70b-versatile,partially_supported
26,llama-3.3-70b-versatile,supported
27,llama-3.3-70b-versatile,supported
28,llama-3.3-70b-versatile,partially_supported
29,llama-3.3-70b-versatile,supported
30,llama-3.3-70b-versatile,partially_supported
31,llama-3.3-70b-versatile,partially_supported
32,llama-3.3-70b-versatile,supported
34,llama-3.3-70b-versatile,supported
35,llama-3.3-70b-versatile,supported
37,llama-3.3-70b-versatile,partially_supported
39,llama-3.3-70b-versatile,partially_supported
40,llama-3.3-70b-versatile,partially_supported
41,llama-3.3-70b-versatile,partially_supported
42,llama-3.3-70b-versatile,supported
43,llama-3.3-70b-versatile,partially_supported
44,llama-3.3-70b-versatile,supported
46,llama-3.3-70b-versatile,partially_supported
47,llama-3.3-70b-versatile,supported
48,llama-3.3-70b-versatile,partially_supported
49,llama-3.3-70b-versatile,supported
50,llama-3.3-70b-versatile,partially_supported
52,llama-3.3-70b-versatile,partially_supported
53,llama-3.3-70b-versatile,supported
54,llama-3.3-70b-versatile,supported
55,llama-3.3-70b-versatile,supported
56,llama-3.3-70b-versatile,partially_supported
57,llama-3.3-70b-versatile,partially_supported
58,llama-3.3-70b-versatile,supported
59,llama-3.3-70b-versatile,partially_supported
61,llama-3.3-70b-versatile,partially_supported
62,llama-3.3-70b-versatile,partially_supported
63,llama-3.3-70b-versatile,partially_supported
64,llama-3.3-70b-versatile,supported
67,llama-3.3-70b-versatile,partially_supported
68,llama-3.3-70b-versatile,partially_supported
69,llama-3.3-70b-versatile,partially_supported
70,llama-3.3-70b-versatile,supported
71,llama-3.3-70b-versatile,partially_supported
72,llama-3.3-70b-versatile,supported
73,llama-3.3-70b-versatile,partially_supported
74,llama-3.3-70b-versatile,partially_supported
75,llama-3.3-70b-versatile,partially_supported
76,llama-3.3-70b-versatile,partially_supported
77,llama-3.3-70b-versatile,partially_supported
78,llama-3.3-70b-versatile,partially_supported
79,llama-3.3-70b-versatile,supported
80,llama-3.3-70b-versatile,supported
82,llama-3.3-70b-versatile,partially_supported
83,llama-3.3-70b-versatile,hallucinated
84,llama-3.3-70b-versatile,supported
85,llama-3.3-70b-versatile,partially_supported
86,llama-3.3-70b-versatile,partially_supported
87,llama-3.3-70b-versatile,partially_supported
88,llama-3.3-70b-versatile,partially_supported
89,llama-3.3-70b-versatile,partially_supported
90,llama-3.3-70b-versatile,partially_supported
91,llama-3.3-70b-versatile,partially_supported
92,llama-3.3-70b-versatile,supported
93,llama-3.3-70b-versatile,partially_supported
94,llama-3.3-70b-versatile,supported
95,llama-3.3-70b-versatile,partially_supported
96,llama-3.3-70b-versatile,partially_supported
97,llama-3.3-70b-versatile,partially_supported
99,llama-3.3-70b-versatile,partially_supported
100,llama-3.3-70b-versatile,supported
101,llama-3.3-70b-versatile,supported
102,llama-3.3-70b-versatile,partially_supported
103,llama-3.3-70b-versatile,partially_supported
104,llama-3.3-70b-versatile,partially_supported
106,llama-3.3-70b-versatile,partially_supported
107,llama-3.3-70b-versatile,partially_supported
108,llama-3.3-70b-versatile,supported
109,llama-3.3-70b-versatile,partially_supported
111,llama-3.3-70b-versatile,partially_supported
112,llama-3.3-70b-versatile,supported
113,llama-3.3-70b-versatile,partially_supported
114,llama-3.3-70b-versatile,partially_supported
116,llama-3.3-70b-versatile,partially_supported
117,llama-3.3-70b-versatile,supported
118,llama-3.3-70b-versatile,supported
119,llama-3.3-70b-versatile,supported
120,llama-3.3-70b-versatile,partially_supported
121,llama-3.3-70b-versatile,supported
122,llama-3.3-70b-versatile,supported
124,llama-3.3-70b-versatile,supported
126,llama-3.3-70b-versatile,supported
127,llama-3.3-70b-versatile,supported
128,llama-3.3-70b-versatile,partially_supported
129,llama-3.3-70b-versatile,partially_supported
130,llama-3.3-70b-versatile,partially_supported
132,llama-3.3-70b-versatile,partially_supported
133,llama-3.3-70b-versatile,partially_supported
134,llama-3.3-70b-versatile,partially_supported
135,llama-3.3-70b-versatile,partially_supported
136,llama-3.3-70b-versatile,partially_supported
137,llama-3.3-70b-versatile,supported
138,llama-3.3-70b-versatile,supported
139,llama-3.3-70b-versatile,partially_supported
140,llama-3.3-70b-versatile,partially_supported
141,llama-3.3-70b-versatile,partially_supported
142,llama-3.3-70b-versatile,partially_supported
143,llama-3.3-70b-versatile,supported
144,llama-3.3-70b-versatile,partially_supported
145,llama-3.3-70b-versatile,supported
146,llama-3.3-70b-versatile,partially_supported
147,llama-3.3-70b-versatile,supported
148,llama-3.3-70b-versatile,partially_supported
149,llama-3.3-70b-versatile,partially_supported
1,gpt-oss-20b,supported
2,gpt-oss-20b,partially_supported
3,gpt-oss-20b,supported
4,gpt-oss-20b,partially_supported
5,gpt-oss-20b,hallucinated
6,gpt-oss-20b,supported
7,gpt-oss-20b,partially_supported
9,gpt-oss-20b,supported
10,gpt-oss-20b,supported
13,gpt-oss-20b,partially_supported
14,gpt-oss-20b,supported
16,gpt-oss-20b,supported
17,gpt-oss-20b,partially_supported
20,gpt-oss-20b,supported
