,coef,odds_ratio,ci_low,ci_high,p_value
question_length,-0.2459,0.782,0.469,1.3041,0.346
readability_fk,-0.3335,0.7164,0.4439,1.156,0.1719
evidence_length,-0.025,0.9753,0.5771,1.6481,0.9256
retrieval_similarity,-0.2552,0.7748,0.4924,1.2189,0.2697
ambiguity,0.5592,1.7492,1.1092,2.7585,0.0161
reasoning_depth,-0.3357,0.7148,0.4369,1.1696,0.1814
numerical_content,0.8469,2.3324,0.5568,9.7705,0.2465
topic_regulation,0.1156,1.1226,0.0991,12.718,0.9256
type_factual,0.9252,2.5223,1.0545,6.0332,0.0376
source_cra,-0.1183,0.8884,0.0923,8.5537,0.9184
source_osc,0.3889,1.4753,0.054,40.3103,0.8178
