,coef,odds_ratio,ci_low,ci_high,p_value
question_length,0.1787,1.1957,0.4641,3.0806,0.7113
readability_fk,-1.0643,0.345,0.1396,0.8526,0.0211
evidence_length,0.9717,2.6424,1.1162,6.2555,0.0271
retrieval_similarity,-0.5927,0.5529,0.2597,1.177,0.1242
ambiguity,0.4153,1.5149,0.7891,2.9082,0.212
reasoning_depth,0.4848,1.6238,0.657,4.0133,0.2937
numerical_content,-0.3789,0.6846,0.0269,17.4388,0.8186
topic_regulation,0.735,2.0855,0.0405,107.3254,0.7147
type_factual,0.8048,2.2364,0.6227,8.0314,0.2173
source_cra,-2.0307,0.1312,0.0034,5.0206,0.2748
source_osc,18.9857,175944134.4637,0.0,inf,0.9999
